time,distance,kf_distance[0],kf_msd[0].R,sigma_a[0]
1.022,2.618000031,1.645364761,6.04E-05,0.048
1.023,2.618000031,1.660090446,6.04E-05,0.048
1.024,2.618000031,1.675280571,6.04E-05,0.048
1.025,2.618000031,1.6909132,6.04E-05,0.048
1.026,2.618000031,1.706967354,6.04E-05,0.048
1.027,2.618000031,1.723423958,6.04E-05,0.048
1.028,2.618000031,1.740262985,6.04E-05,0.048
1.029,2.618000031,1.757464409,6.04E-05,0.048
1.03,2.618000031,1.775009155,6.04E-05,0.048
1.031,2.618000031,1.792878151,6.04E-05,0.048
1.032,2.618000031,1.811053753,6.04E-05,0.048
1.033,2.618000031,1.829516888,6.04E-05,0.048
1.034,2.618000031,1.848250389,6.04E-05,0.048
1.035,2.618000031,1.867237091,6.04E-05,0.048
1.036,2.618000031,1.886459351,6.04E-05,0.048
1.037,2.618000031,1.905900955,6.04E-05,0.048
1.038,2.618000031,1.925545216,6.04E-05,0.048
1.039,2.618000031,1.945375919,6.04E-05,0.048
1.04,2.618000031,1.965377808,6.04E-05,0.048
1.041,2.618000031,1.985535145,6.04E-05,0.048
1.042,2.618000031,2.005833149,6.04E-05,0.048
1.043,2.618000031,2.026257038,6.04E-05,0.048
1.045,2.618000031,2.046792507,6.04E-05,0.048
1.046,2.618000031,2.067425728,6.04E-05,0.048
1.047,2.618000031,2.088142395,6.04E-05,0.048
1.047,2.618000031,2.108929634,6.04E-05,0.048
1.048,2.618000031,2.129773617,6.04E-05,0.048
1.049,2.618000031,2.150662422,6.04E-05,0.048
1.05,2.618000031,2.171583176,6.04E-05,0.048
1.051,2.618000031,2.192523479,6.04E-05,0.048
1.052,2.618000031,2.213471413,6.04E-05,0.048
1.053,2.618000031,2.234415054,6.04E-05,0.048
1.055,2.618000031,2.255343437,6.04E-05,0.048
1.055,2.618000031,2.276245594,6.04E-05,0.048
1.056,2.618000031,2.297111034,6.04E-05,0.048
1.057,2.618000031,2.317928791,6.04E-05,0.048
1.058,2.618000031,2.33868885,6.04E-05,0.048
1.059,2.618000031,2.359381676,6.04E-05,0.048
1.06,2.618000031,2.37999773,6.04E-05,0.048
1.061,2.618000031,2.400527,6.04E-05,0.048
1.062,2.618000031,2.420960903,6.04E-05,0.048
1.063,2.618000031,2.441289902,6.04E-05,0.048
1.064,2.618000031,2.461506367,6.04E-05,0.048
1.065,2.618000031,2.481601715,6.04E-05,0.048
1.066,2.618000031,2.501567364,6.04E-05,0.048
1.067,2.618000031,2.521396637,6.04E-05,0.048
1.068,2.618000031,2.541081429,6.04E-05,0.048
1.069,2.618000031,2.560614109,6.04E-05,0.048
1.07,2.618000031,2.57998848,6.04E-05,0.048
1.071,2.618000031,2.599197388,6.04E-05,0.048
1.072,2.618000031,2.618234158,6.04E-05,0.048
1.073,2.618000031,2.637092113,6.04E-05,0.048
1.074,2.618000031,2.655765533,6.04E-05,0.048
1.075,2.618000031,2.674248695,6.04E-05,0.048
1.076,3.893000126,2.738472939,6.04E-05,0.048
1.077,3.893000126,2.8016572,6.04E-05,0.048
1.078,3.893000126,2.863803864,6.04E-05,0.048
1.079,3.893000126,2.924914837,6.04E-05,0.048
1.08,3.893000126,2.984993458,6.04E-05,0.048
1.081,3.893000126,3.044043064,6.04E-05,0.048
1.082,3.893000126,3.102066994,6.04E-05,0.048
1.083,3.893000126,3.159068584,6.04E-05,0.048
1.084,3.893000126,3.215052128,6.04E-05,0.048
1.085,3.893000126,3.270021439,6.04E-05,0.048
1.086,3.893000126,3.323980808,6.04E-05,0.048
1.087,3.893000126,3.376933575,6.04E-05,0.048
1.088,3.893000126,3.42888546,6.04E-05,0.048
1.089,3.893000126,3.479840755,6.04E-05,0.048
1.09,3.893000126,3.529803753,6.04E-05,0.048
1.091,3.893000126,3.578780651,6.04E-05,0.048
1.092,3.893000126,3.626775742,6.04E-05,0.048
1.093,3.893000126,3.673794746,6.04E-05,0.048
1.094,3.893000126,3.719843388,6.04E-05,0.048
1.095,3.893000126,3.76492691,6.04E-05,0.048
1.096,3.893000126,3.809051514,6.04E-05,0.048
1.097,3.893000126,3.852223396,6.04E-05,0.048
1.098,3.893000126,3.89444828,6.04E-05,0.048
1.099,3.893000126,3.935732841,6.04E-05,0.048
1.1,3.893000126,3.976084232,6.04E-05,0.048
1.101,3.893000126,4.015507221,6.04E-05,0.048
1.102,3.893000126,4.054009914,6.04E-05,0.048
1.103,3.893000126,4.091598988,6.04E-05,0.048
1.104,3.893000126,4.128281593,6.04E-05,0.048
1.105,3.893000126,4.164063931,6.04E-05,0.048
1.106,3.893000126,4.198954105,6.04E-05,0.048
1.107,3.893000126,4.23295927,6.04E-05,0.048
1.108,3.893000126,4.266086578,6.04E-05,0.048
1.109,3.893000126,4.298344135,6.04E-05,0.048
1.11,3.893000126,4.329739094,6.04E-05,0.048
1.111,3.893000126,4.360279083,6.04E-05,0.048
1.112,3.893000126,4.38997221,6.04E-05,0.048
1.113,3.893000126,4.418827057,6.04E-05,0.048
1.114,3.893000126,4.446850777,6.04E-05,0.048
1.115,3.893000126,4.474051952,6.04E-05,0.048
1.116,3.893000126,4.50043869,6.04E-05,0.048
1.117,3.893000126,4.526019096,6.04E-05,0.048
1.118,3.893000126,4.550801754,6.04E-05,0.048
1.119,3.893000126,4.574795246,6.04E-05,0.048
1.12,3.893000126,4.598007679,6.04E-05,0.048
1.121,3.893000126,4.620448112,6.04E-05,0.048
1.122,3.893000126,4.64212513,6.04E-05,0.048
1.123,3.893000126,4.663047314,6.04E-05,0.048
1.124,3.893000126,4.683223248,6.04E-05,0.048
1.125,3.893000126,4.702661991,6.04E-05,0.048
1.126,3.893000126,4.721372128,6.04E-05,0.048
1.127,3.893000126,4.739362717,6.04E-05,0.048
1.128,3.893000126,4.756642342,6.04E-05,0.048
1.129,3.893000126,4.773220539,6.04E-05,0.048
1.13,3.893000126,4.789106369,6.04E-05,0.048
1.131,3.893000126,4.804308891,6.04E-05,0.048
1.132,3.893000126,4.818837166,6.04E-05,0.048
1.133,3.893000126,4.832699776,6.04E-05,0.048
1.134,3.893000126,4.845906258,6.04E-05,0.048
1.135,3.893000126,4.858466148,6.04E-05,0.048
1.136,9.027000427,5.055365086,6.04E-05,0.048
1.137,9.027000427,5.24825716,6.04E-05,0.048
1.138,9.027000427,5.437182903,6.04E-05,0.048
1.139,9.027000427,5.622181892,6.04E-05,0.048
1.14,9.027000427,5.803296089,6.04E-05,0.048
1.141,9.027000427,5.980564117,6.04E-05,0.048
1.142,9.027000427,6.154027939,6.04E-05,0.048
1.143,9.027000427,6.323726654,6.04E-05,0.048
1.144,9.027000427,6.489702225,6.04E-05,0.048
1.145,9.027000427,6.651992798,6.04E-05,0.048
1.146,9.027000427,6.810640812,6.04E-05,0.048
1.147,9.027000427,6.965685368,6.04E-05,0.048
1.148,9.027000427,7.117167473,6.04E-05,0.048
1.149,9.027000427,7.265126228,6.04E-05,0.048
1.15,9.027000427,7.409603119,6.04E-05,0.048
1.151,9.027000427,7.550637722,6.04E-05,0.048
1.152,9.027000427,7.688270569,6.04E-05,0.048
1.153,9.027000427,7.822541237,6.04E-05,0.048
1.155,9.027000427,7.953490734,6.04E-05,0.048
1.156,9.027000427,8.081157684,6.04E-05,0.048
1.156,9.027000427,8.205583572,6.04E-05,0.048
1.157,9.027000427,8.326807976,6.04E-05,0.048
1.158,9.027000427,8.444869995,6.04E-05,0.048
1.159,9.027000427,8.559809685,6.04E-05,0.048
1.16,9.027000427,8.671667099,6.04E-05,0.048
1.161,9.027000427,8.780481339,6.04E-05,0.048
1.162,9.027000427,8.886292458,6.04E-05,0.048
1.163,9.027000427,8.989139557,6.04E-05,0.048
1.164,9.027000427,9.089061737,6.04E-05,0.048
1.165,9.027000427,9.186099052,6.04E-05,0.048
1.166,9.027000427,9.28028965,6.04E-05,0.048
1.167,9.027000427,9.371673584,6.04E-05,0.048
1.168,9.027000427,9.460289001,6.04E-05,0.048
1.169,9.027000427,9.546175003,6.04E-05,0.048
1.17,9.027000427,9.629370689,6.04E-05,0.048
1.171,9.027000427,9.709913254,6.04E-05,0.048
1.172,9.027000427,9.787842751,6.04E-05,0.048
1.173,9.027000427,9.863196373,6.04E-05,0.048
1.174,9.027000427,9.936012268,6.04E-05,0.048
1.175,9.027000427,10.00632954,6.04E-05,0.048
1.176,9.027000427,10.07418537,6.04E-05,0.048
1.177,9.027000427,10.13961697,6.04E-05,0.048
1.178,9.027000427,10.20266247,6.04E-05,0.048
1.179,9.027000427,10.26335907,6.04E-05,0.048
1.18,9.027000427,10.32174301,6.04E-05,0.048
1.181,9.027000427,10.37785339,6.04E-05,0.048
1.182,9.027000427,10.4317255,6.04E-05,0.048
1.183,9.027000427,10.48339653,6.04E-05,0.048
1.184,9.027000427,10.53290176,6.04E-05,0.048
1.185,9.027000427,10.5802803,6.04E-05,0.048
1.186,9.027000427,10.62556553,6.04E-05,0.048
1.187,9.027000427,10.66879368,6.04E-05,0.048
1.188,9.027000427,10.71000195,6.04E-05,0.048
1.189,9.027000427,10.74922466,6.04E-05,0.048
1.19,9.027000427,10.78649807,6.04E-05,0.048
1.191,9.027000427,10.82185555,6.04E-05,0.048
1.192,9.027000427,10.85533333,6.04E-05,0.048
1.193,9.027000427,10.88696575,6.04E-05,0.048
1.194,9.027000427,10.91678715,6.04E-05,0.048
1.195,9.027000427,10.94483185,6.04E-05,0.048
1.196,12.35900021,11.09118366,6.04E-05,0.048
1.197,12.35900021,11.23363495,6.04E-05,0.048
1.198,12.35900021,11.37223721,6.04E-05,0.048
1.199,12.35900021,11.50704575,6.04E-05,0.048
1.2,12.35900021,11.63811207,6.04E-05,0.048
1.201,12.35900021,11.76548958,6.04E-05,0.048
1.202,12.35900021,11.88923264,6.04E-05,0.048
1.203,12.35900021,12.00939083,6.04E-05,0.048
1.204,12.35900021,12.12601852,6.04E-05,0.048
1.205,12.35900021,12.23916721,6.04E-05,0.048
1.206,12.35900021,12.34888744,6.04E-05,0.048
1.207,12.35900021,12.45523071,6.04E-05,0.048
1.208,12.35900021,12.55825043,6.04E-05,0.048
1.209,12.35900021,12.65799522,6.04E-05,0.048
1.21,12.35900021,12.75451565,6.04E-05,0.048
1.211,12.35900021,12.84786224,6.04E-05,0.048
1.212,12.35900021,12.93808556,6.04E-05,0.048
1.213,12.35900021,13.02523422,6.04E-05,0.048
1.214,12.35900021,13.10935974,6.04E-05,0.048
1.215,12.35900021,13.19050884,6.04E-05,0.048
1.216,12.35900021,13.26873016,6.04E-05,0.048
1.217,12.35900021,13.34407425,6.04E-05,0.048
1.218,12.35900021,13.41658783,6.04E-05,0.048
1.219,12.35900021,13.48631954,6.04E-05,0.048
1.22,12.35900021,13.55331612,6.04E-05,0.048
1.221,12.35900021,13.61762428,6.04E-05,0.048
1.222,12.35900021,13.67929268,6.04E-05,0.048
1.223,12.35900021,13.73836708,6.04E-05,0.048
1.224,12.35900021,13.79489326,6.04E-05,0.048
1.225,12.35900021,13.84891701,6.04E-05,0.048
1.226,12.35900021,13.90048409,6.04E-05,0.048
1.227,12.35900021,13.94964027,6.04E-05,0.048
1.228,12.35900021,13.99642944,6.04E-05,0.048
1.229,12.35900021,14.04089737,6.04E-05,0.048
