time,distance,kf_distance[0],kf_distance[1],kf_distance[2],kf_distance[3],kf_distance[4],kf_distance[5],
5.019,14.042000770568848,13.287886619567871,14.252193450927734,14.096686363220215,12.874326705932617,14.13634967803955,14.163284301757812,
5.02,14.042000770568848,13.300085067749023,14.25430965423584,14.09269905090332,12.880706787109375,14.146186828613281,14.164011001586914,
5.021,14.042000770568848,13.312195777893066,14.256233215332031,14.08884048461914,12.887070655822754,14.155832290649414,14.164509773254395,
5.022,14.042000770568848,13.324217796325684,14.257969856262207,14.08511734008789,12.893416404724121,14.165290832519531,14.164791107177734,
5.023,14.042000770568848,13.336153984069824,14.259525299072266,14.081536293029785,12.899744987487793,14.174562454223633,14.164868354797363,
5.024,14.042000770568848,13.348002433776855,14.260904312133789,14.078103065490723,12.906055450439453,14.183649063110352,14.164751052856445,
5.025,14.042000770568848,13.359764099121094,14.26211166381836,14.074821472167969,12.912348747253418,14.19255256652832,14.164450645446777,
5.026,14.042000770568848,13.371438980102539,14.263153076171875,14.071693420410156,12.918624877929688,14.201274871826172,14.16397762298584,
5.027,14.042000770568848,13.383028030395508,14.264033317565918,14.068719863891602,12.924882888793945,14.209817886352539,14.163341522216797,
5.028,14.042000770568848,13.394530296325684,14.26475715637207,14.065902709960938,12.931124687194824,14.218183517456055,14.162552833557129,
5.029,14.042000770568848,13.405946731567383,14.265329360961914,14.063241004943848,12.937347412109375,14.226373672485352,14.161620140075684,
5.03,14.042000770568848,13.417278289794922,14.265753746032715,14.0607328414917,12.943553924560547,14.234390258789062,14.160554885864258,
5.031,14.042000770568848,13.4285249710083,14.266036987304688,14.058377265930176,12.949742317199707,14.242234230041504,14.159363746643066,
5.032,14.042000770568848,13.439685821533203,14.266181945800781,14.056170463562012,12.955913543701172,14.249907493591309,14.158056259155273,
5.033,14.042000770568848,13.450761795043945,14.266194343566895,14.054110527038574,12.962066650390625,14.257412910461426,14.156641006469727,
5.034,14.042000770568848,13.461752891540527,14.266077995300293,14.052192687988281,12.968202590942383,14.264751434326172,14.155125617980957,
5.035,14.042000770568848,13.472661018371582,14.265836715698242,14.050413131713867,12.974321365356445,14.27192497253418,14.153518676757812,
5.036,14.042000770568848,13.483484268188477,14.26547622680664,14.048768997192383,12.980422019958496,14.278936386108398,14.151826858520508,
5.037,14.042000770568848,13.494223594665527,14.264999389648438,14.047253608703613,12.986505508422852,14.285785675048828,14.150057792663574,
5.038,14.042000770568848,13.50487995147705,14.264410018920898,14.045863151550293,12.992571830749512,14.292474746704102,14.148218154907227,
5.039,14.042000770568848,13.51545238494873,14.263714790344238,14.044591903686523,12.99862003326416,14.299006462097168,14.14631462097168,
5.04,14.042000770568848,13.5259428024292,14.262914657592773,14.043436050415039,13.004651069641113,14.305381774902344,14.144353866577148,
5.041,14.042000770568848,13.53635025024414,14.262015342712402,14.042387962341309,13.010664939880371,14.311603546142578,14.142342567443848,
5.042,14.042000770568848,13.546675682067871,14.261019706726074,14.041443824768066,13.016660690307617,14.317671775817871,14.14028549194336,
5.043,14.042000770568848,13.556918144226074,14.259932518005371,14.040597915649414,13.022639274597168,14.323589324951172,14.138188362121582,
5.044,14.042000770568848,13.567079544067383,14.258756637573242,14.03984546661377,13.028599739074707,14.329358100891113,14.13605785369873,
5.045,14.042000770568848,13.577159881591797,14.257495880126953,14.039180755615234,13.034543991088867,14.334979057312012,14.13389778137207,
5.046,14.042000770568848,13.587158203125,14.256153106689453,14.038597106933594,13.0404691696167,14.3404541015625,14.131712913513184,
5.047,14.042000770568848,13.597075462341309,14.25473403930664,14.038091659545898,13.046378135681152,14.345785140991211,14.129508972167969,
5.048,14.042000770568848,13.606912612915039,14.253239631652832,14.037657737731934,13.052268981933594,14.350975036621094,14.127290725708008,
5.049,14.042000770568848,13.616669654846191,14.25167465209961,14.037290573120117,13.05814266204834,14.356022834777832,14.12506103515625,
5.05,14.042000770568848,13.62634563446045,14.250041007995605,14.036985397338867,13.063998222351074,14.360932350158691,14.122824668884277,
5.051,14.042000770568848,13.635942459106445,14.248343467712402,14.036738395690918,13.069836616516113,14.365703582763672,14.120584487915039,
5.052,14.042000770568848,13.64546012878418,14.24658489227295,14.036544799804688,13.075657844543457,14.370340347290039,14.118346214294434,
5.053,14.042000770568848,13.654897689819336,14.244767189025879,14.036398887634277,13.081460952758789,14.374842643737793,14.116110801696777,
5.054,14.042000770568848,13.664257049560547,14.242894172668457,14.036297798156738,13.087246894836426,14.379213333129883,14.113883018493652,
5.055,14.042000770568848,13.673538208007812,14.240968704223633,14.036237716674805,13.093015670776367,14.383452415466309,14.111665725708008,
5.056,14.042000770568848,13.682740211486816,14.238993644714355,14.036213874816895,13.098767280578613,14.38756275177002,14.109461784362793,
5.057,14.042000770568848,13.691864013671875,14.236970901489258,14.036222457885742,13.104500770568848,14.391545295715332,14.10727310180664,
5.058,14.042000770568848,13.700911521911621,14.234905242919922,14.036262512207031,13.11021614074707,14.395402908325195,14.1051025390625,
5.059,14.042000770568848,13.709880828857422,14.232797622680664,14.036327362060547,13.115915298461914,14.39913558959961,14.10295295715332,
5.06,14.042000770568848,13.718772888183594,14.230649948120117,14.036417007446289,13.121596336364746,14.402745246887207,14.100826263427734,
5.061,14.042000770568848,13.727588653564453,14.228466987609863,14.03652572631836,13.127260208129883,14.406234741210938,14.098724365234375,
5.062,14.042000770568848,13.736327171325684,14.226249694824219,14.036653518676758,13.132906913757324,14.4096040725708,14.096649169921875,
5.063,14.042000770568848,13.744990348815918,14.224000930786133,14.036796569824219,13.138535499572754,14.412856101989746,14.094602584838867,
5.064,14.042000770568848,13.75357723236084,14.221722602844238,14.036952018737793,13.144146919250488,14.41599178314209,14.092585563659668,
5.065,14.042000770568848,13.762088775634766,14.219417572021484,14.037117958068848,13.149741172790527,14.419013023376465,14.090600967407227,
5.066,14.042000770568848,13.770524978637695,14.217087745666504,14.037293434143066,13.155317306518555,14.421920776367188,14.088647842407227,
5.067,14.042000770568848,13.778886795043945,14.21473503112793,14.0374755859375,13.160876274108887,14.424715995788574,14.086730003356934,
5.068,14.042000770568848,13.7871732711792,14.212362289428711,14.037663459777832,13.166418075561523,14.427401542663574,14.084846496582031,
5.069,14.042000770568848,13.795385360717773,14.209970474243164,14.03785514831543,13.171942710876465,14.42997932434082,14.082999229431152,
5.07,14.042000770568848,13.803524017333984,14.207562446594238,14.038047790527344,13.177450180053711,14.432449340820312,14.081189155578613,
5.071,14.042000770568848,13.811589241027832,14.205140113830566,14.03824234008789,13.182939529418945,14.434813499450684,14.079416275024414,
5.072,14.042000770568848,13.819581031799316,14.202704429626465,14.038436889648438,13.188411712646484,14.437073707580566,14.077681541442871,
5.073,14.042000770568848,13.827499389648438,14.200258255004883,14.038629531860352,13.193866729736328,14.439230918884277,14.075986862182617,
5.074,14.042000770568848,13.835345268249512,14.197802543640137,14.038820266723633,13.19930362701416,14.44128704071045,14.074331283569336,
