time,distance,kf_distance[0]
4.832,11.37300014,11.9045372
4.833,11.37300014,11.92319107
4.834,11.37300014,11.9584074
4.836,11.37300014,11.9749918
4.837,11.37300014,11.99090862
4.838,11.37300014,12.00616837
4.839,11.37300014,12.02078056
4.84,11.37300014,12.03475666
4.842,11.37300014,12.06084061
4.843,11.37300014,12.07296848
4.844,11.37300014,12.08450127
4.845,11.37300014,12.09544945
4.847,11.37300014,12.1156292
4.848,11.37300014,12.12488174
4.849,11.37300014,12.13358784
4.85,11.37300014,12.14175892
4.851,11.37300014,12.14940357
4.852,11.37300014,12.15653133
4.853,11.37300014,12.16315269
4.854,11.37300014,12.16927624
4.856,11.37300014,12.18006897
4.857,11.37300014,12.18475628
4.858,11.37300014,12.18898296
4.859,11.37300014,12.19275856
4.86,11.37300014,12.19609261
4.861,12.3930006,12.23075485
4.862,12.3930006,12.26449203
4.864,12.3930006,12.32924271
4.865,12.3930006,12.36028194
4.866,12.3930006,12.39044666
4.867,12.3930006,12.41974926
4.868,12.3930006,12.44820213
4.869,12.3930006,12.47581768
4.87,12.3930006,12.5026083
4.871,12.3930006,12.52858543
4.872,12.3930006,12.55376244
4.874,12.3930006,12.60176086
4.875,12.3930006,12.62460613
4.876,12.3930006,12.646698
4.877,12.3930006,12.6680479
4.878,12.3930006,12.6886673
4.879,12.3930006,12.70856762
4.88,12.3930006,12.72776127
4.882,12.3930006,12.76406956
4.883,12.3930006,12.78120804
4.884,12.3930006,12.79768372
4.885,12.3930006,12.81350708
4.886,12.3930006,12.82868958
4.887,12.3930006,12.84324265
4.888,12.3930006,12.85717583
4.889,12.3930006,12.87050056
4.89,12.3930006,12.88322735
4.891,12.3930006,12.89536572
4.892,12.3930006,12.91792202
4.894,12.3930006,12.92835999
4.895,12.3930006,12.9382515
4.896,12.3930006,12.94760609
4.897,12.3930006,12.95643425
4.898,12.3930006,12.96474552
4.899,12.3930006,12.97985744
4.901,12.3930006,12.98667717
4.902,12.3930006,12.99301815
4.903,12.3930006,12.99889088
4.904,12.3930006,13.00430393
4.905,12.3930006,13.00926781
4.906,12.3930006,13.01379013
4.908,12.3930006,13.02154827
4.909,12.3930006,13.02480221
4.91,12.3930006,13.02765179
4.911,12.3930006,13.03010368
4.912,12.3930006,13.03216934
4.913,12.3930006,13.03385544
4.914,12.3930006,13.03517056
4.915,12.3930006,13.03672314
4.917,12.3930006,13.03697681
4.918,12.3930006,13.03689289
4.919,12.3930006,13.03647995
4.92,12.3930006,13.03574467
4.921,12.3930006,13.03469658
4.923,13.12400055,13.07685661
4.924,13.12400055,13.09696198
4.925,13.12400055,13.11643028
4.926,13.12400055,13.13527489
4.927,13.12400055,13.15350246
4.928,13.12400055,13.17112541
4.929,13.12400055,13.18815231
4.93,13.12400055,13.20459461
4.932,13.12400055,13.23576164
4.933,13.12400055,13.25050545
4.934,13.12400055,13.26470375
4.935,13.12400055,13.27836418
4.936,13.12400055,13.29149818
4.937,13.12400055,13.30411339
4.938,13.12400055,13.31621933
4.939,13.12400055,13.32782459
4.94,13.12400055,13.33893967
4.942,13.12400055,13.35973358
4.943,13.12400055,13.36943054
4.944,13.12400055,13.37867165
4.945,13.12400055,13.38746548
4.946,13.12400055,13.39582157
4.947,13.12400055,13.40374756
4.948,13.12400055,13.41125298
4.949,13.12400055,13.41834545
4.95,13.12400055,13.42503357
4.951,13.12400055,13.43722725
4.953,13.12400055,13.44274998
4.954,13.12400055,13.44789886
4.955,13.12400055,13.4526844
4.956,13.12400055,13.45711136
